Time_to_land;Initial_time;ARP_distance;ARP_azimuth;Heading;Altitude;IAS;GS;Barometric_pressure;Wind_direction;Wind_variability;Wind_speed;Visibility;European_airlines;American_airlines;Latam_airlines;Other_airlines;Day_of_the_week;Mix_index;WTC;RWY
746;62136;67642.2685;276.0761222;274.2882546;2697.48;270;442;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
765;75528;67880.26234;259.9829741;245.8545063;3040.38;277;408;1017;240;0;9;9000;1;0;0;0;6;100;M;25R
778;62269;67995.78606;259.5846084;235.7169398;3314.7;267;442;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
729;81204;67963.69076;52.80283044;109.3918672;4091.94;249;344;1016;260;40;5;8000;1;0;0;0;6;100;M;2
759;62362;67728.11332;225.5219407;178.2477038;3147.06;241;428;1016;220;0;10;10000;0;0;0;0;6;100;M;25R
720;62485;67867.49924;225.4665959;178.3074472;3009.9;305;444;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
820;62628;67938.93482;208.800968;157.3757985;3596.64;269;410;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
587;78245;67971.64129;43.23685413;52.33908427;3314.7;247;460;1017;280;0;4;9000;1;0;0;0;6;100;M;2
1200;69326;67834.51103;10.37576035;325.9105747;4274.82;315;344;1017;220;0;7;10000;1;0;0;0;6;100;M;25R
790;62847;67952.14955;259.6386103;233.3018351;3078.48;241;430;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
648;62874;67794.85515;223.642936;179.0099281;2598.42;244;440;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
742;62866;67858.22213;273.3359804;266.6983384;3230.88;249;430;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
1132;63411;67911.36043;31.49955692;52.46253375;4648.2;249;472;1016;230;0;8;10000;1;0;0;0;6;100;M;25R
726;80592;67790.133;43.96245156;51.95040424;3238.5;255;446;1017;250;0;5;9000;1;0;0;0;6;100;M;2
666;63407;67907.47315;216.0812044;215.7081909;3086.1;248;410;1016;230;0;8;10000;1;0;0;0;6;100;M;25R
667;63426;67714.58753;218.3405485;211.7186195;2834.64;270;398;1016;230;0;8;10000;1;0;0;0;6;100;M;25R
1080;78498;67962.89748;224.8416928;231.6767532;5120.64;246;424;1017;280;0;4;9000;1;0;0;0;6;100;M;2
817;63738;67767.02867;276.0499251;297.5023785;2781.3;257;440;1016;230;0;8;10000;1;0;0;0;6;100;M;25R
812;75481;67784.9079;294.855577;306.4014036;3261.36;251;280;1017;240;0;9;9000;1;0;0;0;6;100;M;25R
730;63834;67962.24623;208.8908004;173.3261242;3695.7;240;364;1016;230;0;8;10000;1;0;0;0;6;100;M;25R
795;82522;67952.08534;66.19213393;135.8346041;4046.22;245;318;1016;260;40;5;8000;1;0;0;0;6;100;M;2
716;63938;67889.82486;209.0203601;146.7445399;3489.96;302;430;1016;230;0;8;10000;1;0;0;0;6;100;M;25R
1144;80403;67945.35017;224.9137128;234.2128713;4907.28;260;440;1017;250;0;5;9000;1;0;0;0;6;100;M;2
733;64028;67981.26659;225.8352807;177.1903191;2926.08;295;446;1016;230;0;8;10000;1;0;0;0;6;100;M;25L
1270;80618;67895.62989;224.796291;232.6175201;5052.06;272;442;1017;250;0;5;9000;1;0;0;0;6;100;M;2
786;64128;67930.56446;225.4125583;215.8172339;2842.26;251;426;1016;230;0;8;10000;1;0;0;0;6;100;M;25R
811;64169;67863.06999;225.438203;177.9715712;2865.12;253;430;1016;230;0;8;10000;0;0;0;0;6;100;M;25R
848;64274;67809.88099;276.0636876;265.8170811;2606.04;252;456;1016;230;0;8;10000;0;0;0;1;6;100;H;25R
890;64330;67964.97331;259.5615335;198.4735268;3185.16;279;396;1016;230;0;8;10000;1;0;0;0;6;112.5;M;25R
882;77166;67970.07922;11.50845896;30.025829;4274.82;289;376;1017;250;0;8;9000;1;0;0;0;6;100;M;25R
770;64399;67932.80279;225.4106431;211.7778647;3520.44;269;424;1016;230;0;8;10000;1;0;0;0;6;112.5;M;25R
750;64415;67700.7257;223.6210847;175.443791;2865.12;237;426;1016;230;0;8;10000;1;0;0;0;6;111.7647059;M;25R
